var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
mlssr,mean_large_scale_snowfall_rate,mlssr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean large-scale snowfall rate,kg m**-2 s**-1,,0
mn2t,minimum_2m_temperature_since_previous_post_processing,mn2t,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Minimum temperature at 2 metres since previous post-processing,K,,0
mngwss,mean_northward_gravity_wave_surface_stress,mngwss,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean northward gravity wave surface stress,N m**-2,,0
mntpr,minimum_total_precipitation_rate_since_previous_post_processing,mntpr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Minimum total precipitation rate since previous post-processing,kg m**-2 s**-1,,0
mntss,mean_northward_turbulent_surface_stress,mntss,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean northward turbulent surface stress,N m**-2,,0
mp1,mean_wave_period_based_on_first_moment,mp1,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period based on first moment,s,,0
mp2,mean_zero_crossing_wave_period,mp2,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean zero-crossing wave period,s,,0
mper,mean_potential_evaporation_rate,mper,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean potential evaporation rate,kg m**-2 s**-1,,0
mpts,mean_period_of_total_swell,mpts,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean period of total swell,s,,0
mpww,mean_period_of_wind_waves,mpww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean period of wind waves,s,,0
mror,mean_runoff_rate,mror,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean runoff rate,kg m**-2 s**-1,,0
msdrswrf,mean_surface_direct_short_wave_radiation_flux,msdrswrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface direct short-wave radiation flux,W m**-2,,0
msdrswrfcs,mean_surface_direct_short_wave_radiation_flux_clear_sky,msdrswrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean surface direct short-wave radiation flux, clear sky",W m**-2,,0
msdwlwrf,mean_surface_downward_long_wave_radiation_flux,msdwlwrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface downward long-wave radiation flux,W m**-2,,0
msdwlwrfcs,mean_surface_downward_long_wave_radiation_flux_clear_sky,msdwlwrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean surface downward long-wave radiation flux, clear sky",W m**-2,,0
msdwswrf,mean_surface_downward_short_wave_radiation_flux,msdwswrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface downward short-wave radiation flux,W m**-2,,0
msdwswrfcs,mean_surface_downward_short_wave_radiation_flux_clear_sky,msdwswrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean surface downward short-wave radiation flux, clear sky",W m**-2,,0
msdwuvrf,mean_surface_downward_uv_radiation_flux,msdwuvrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface downward UV radiation flux,W m**-2,,0
mser,mean_snow_evaporation_rate,mser,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean snow evaporation rate,kg m**-2 s**-1,,0
msl,mean_sea_level_pressure,msl,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean sea level pressure,Pa,,0
mslhf,mean_surface_latent_heat_flux,mslhf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface latent heat flux,W m**-2,,0
msmr,mean_snowmelt_rate,msmr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean snowmelt rate,kg m**-2 s**-1,,0
msnlwrf,mean_surface_net_long_wave_radiation_flux,msnlwrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface net long-wave radiation flux,W m**-2,,0
msnlwrfcs,mean_surface_net_long_wave_radiation_flux_clear_sky,msnlwrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean surface net long-wave radiation flux, clear sky",W m**-2,,0
msnswrf,mean_surface_net_short_wave_radiation_flux,msnswrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface net short-wave radiation flux,W m**-2,,0
msnswrfcs,mean_surface_net_short_wave_radiation_flux_clear_sky,msnswrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean surface net short-wave radiation flux, clear sky",W m**-2,,0
msqs,mean_square_slope_of_waves,msqs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean square slope of waves,dimensionless,,0
msr,mean_snowfall_rate,msr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean snowfall rate,kg m**-2 s**-1,,0
msror,mean_surface_runoff_rate,msror,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface runoff rate,kg m**-2 s**-1,,0
msshf,mean_surface_sensible_heat_flux,msshf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean surface sensible heat flux,W m**-2,,0
mssror,mean_sub_surface_runoff_rate,mssror,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean sub-surface runoff rate,kg m**-2 s**-1,,0
mtdwswrf,mean_top_downward_short_wave_radiation_flux,mtdwswrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean top downward short-wave radiation flux,W m**-2,,0
mtnlwrf,mean_top_net_long_wave_radiation_flux,mtnlwrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean top net long-wave radiation flux,W m**-2,,0
mtnlwrfcs,mean_top_net_long_wave_radiation_flux_clear_sky,mtnlwrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean top net long-wave radiation flux, clear sky",W m**-2,,0
mtnswrf,mean_top_net_short_wave_radiation_flux,mtnswrf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean top net short-wave radiation flux,W m**-2,,0
