var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
siconc,sea_ice_cover,siconc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Sea ice area fraction,(0 - 1),,0
skt,skin_temperature,skt,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Skin temperature,K,,0
slhf,surface_latent_heat_flux,slhf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface latent heat flux,J m**-2,,0
slor,slope_of_sub_gridscale_orography,slor,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Slope of sub-gridscale orography,~,,0
slt,soil_type,slt,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Soil type,~,,0
smlt,snowmelt,smlt,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snowmelt,m of water equivalent,,0
sp,surface_pressure,sp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface pressure,Pa,,0
src,skin_reservoir_content,src,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Skin reservoir content,m of water equivalent,,0
sro,surface_runoff,sro,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface runoff,m,,0
sshf,surface_sensible_heat_flux,sshf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface sensible heat flux,J m**-2,,0
ssr,surface_net_solar_radiation,ssr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface net solar radiation,J m**-2,,0
ssrc,surface_net_solar_radiation_clear_sky,ssrc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Surface net solar radiation, clear sky",J m**-2,,0
ssrd,surface_solar_radiation_downwards,ssrd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface solar radiation downwards,J m**-2,,0
ssrdc,surface_solar_radiation_downward_clear_sky,ssrdc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface solar radiation downward clear-sky,J m**-2,,0
ssro,sub_surface_runoff,ssro,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Sub-surface runoff,m,,0
sst,sea_surface_temperature,sst,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Sea surface temperature,K,,0
stl1,soil_temperature_level_1,stl1,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Soil temperature level 1,K,,0
stl2,soil_temperature_level_2,stl2,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Soil temperature level 2,K,,0
stl3,soil_temperature_level_3,stl3,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Soil temperature level 3,K,,0
stl4,soil_temperature_level_4,stl4,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Soil temperature level 4,K,,0
str,surface_net_thermal_radiation,str,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface net thermal radiation,J m**-2,,0
strc,surface_net_thermal_radiation_clear_sky,strc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Surface net thermal radiation, clear sky",J m**-2,,0
strd,surface_thermal_radiation_downwards,strd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface thermal radiation downwards,J m**-2,,0
strdc,surface_thermal_radiation_downward_clear_sky,strdc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Surface thermal radiation downward clear-sky,J m**-2,,0
swh,significant_height_of_combined_wind_waves_and_swell,swh,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant height of combined wind waves and swell,m,,0
swvl1,volumetric_soil_water_layer_1,swvl1,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Volumetric soil water layer 1,m**3 m**-3,,0
swvl2,volumetric_soil_water_layer_2,swvl2,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Volumetric soil water layer 2,m**3 m**-3,,0
swvl3,volumetric_soil_water_layer_3,swvl3,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Volumetric soil water layer 3,m**3 m**-3,,0
swvl4,volumetric_soil_water_layer_4,swvl4,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Volumetric soil water layer 4,m**3 m**-3,,0
t2m,2m_temperature,t2m,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,2 metre temperature,K,,0
tauoc,normalized_stress_into_ocean,tauoc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Normalized stress into ocean,dimensionless,,0
tcc,total_cloud_cover,tcc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total cloud cover,(0 - 1),,0
tciw,total_column_cloud_ice_water,tciw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column cloud ice water,kg m**-2,,0
tclw,total_column_cloud_liquid_water,tclw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column cloud liquid water,kg m**-2,,0
tco3,total_column_ozone,tco3,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column ozone,kg m**-2,,0
tcrw,total_column_rain_water,tcrw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column rain water,kg m**-2,,0
tcslw,total_column_supercooled_liquid_water,tcslw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column supercooled liquid water,kg m**-2,,0
tcsw,total_column_snow_water,tcsw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column snow water,kg m**-2,,0
tcw,total_column_water,tcw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column water,kg m**-2,,0
tcwv,total_column_water_vapour,tcwv,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total column vertically-integrated water vapour,kg m**-2,,0
tisr,toa_incident_solar_radiation,tisr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,TOA incident solar radiation,J m**-2,,0
tmax,period_corresponding_to_maximum_individual_wave_height,tmax,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Period corresponding to maximum individual wave height,s,,0
totalx,total_totals_index,totalx,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total totals index,K,,0
tp,total_precipitation,tp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total precipitation,m,,0
tplb,trapping_layer_base_height,tplb,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Trapping layer base height,m,,0
tplt,trapping_layer_top_height,tplt,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Trapping layer top height,m,,0
tsn,temperature_of_snow_layer,tsn,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Temperature of snow layer,K,,0
tsr,top_net_solar_radiation,tsr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Top net solar radiation,J m**-2,,0
tsrc,top_net_solar_radiation_clear_sky,tsrc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Top net solar radiation, clear sky",J m**-2,,0
ttr,top_net_thermal_radiation,ttr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Top net thermal radiation,J m**-2,,0
ttrc,top_net_thermal_radiation_clear_sky,ttrc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Top net thermal radiation, clear sky",J m**-2,,0
tvh,type_of_high_vegetation,tvh,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Type of high vegetation,~,,0
tvl,type_of_low_vegetation,tvl,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Type of low vegetation,~,,0
u10,10m_u_component_of_wind,u10,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,10 metre U wind component,m s**-1,,0
u100,100m_u_component_of_wind,u100,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,100 metre U wind component,m s**-1,,0
u10n,10m_u_component_of_neutral_wind,u10n,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Neutral wind at 10 m u-component,m s**-1,,0
ust,u_component_stokes_drift,ust,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,U-component stokes drift,m s**-1,,0
uvb,downward_uv_radiation_at_the_surface,uvb,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Downward UV radiation at the surface,J m**-2,,0
v10,10m_v_component_of_wind,v10,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,10 metre V wind component,m s**-1,,0
v100,100m_v_component_of_wind,v100,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,100 metre V wind component,m s**-1,,0
v10n,10m_v_component_of_neutral_wind,v10n,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Neutral wind at 10 m v-component,m s**-1,,0
vimd,vertically_integrated_moisture_divergence,vimd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertically integrated moisture divergence,kg m**-2,,0
vst,v_component_stokes_drift,vst,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,V-component stokes drift,m s**-1,,0
wdw,wave_spectral_directional_width,wdw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave spectral directional width,radians,,0
wind,ocean_surface_stress_equivalent_10m_neutral_wind_speed,wind,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,10 metre wind speed,m s**-1,,0
wmb,model_bathymetry,wmb,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Model bathymetry,m,,0
wsk,wave_spectral_kurtosis,wsk,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave spectral kurtosis,dimensionless,,0
wsp,wave_spectral_peakedness,wsp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave spectral peakedness,dimensionless,,0
wss,wave_spectral_skewness,wss,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave Spectral Skewness,dimensionless,,0
z,geopotential_at_surface,z,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Geopotential,m**2 s**-2,,0
zust,friction_velocity,zust,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Friction velocity,m s**-1,,0
