doc_id,documented_long_name,documented_level,normalized_level,level_alias_applied,source_var,documented_units,first_version_available,analysis_or_forecast,run_type,documentation_notes,matched_source_registry_rows,matched_families,matched_registry_levels,matched_registry_long_names
18,Hourly Maximum of Upward Vertical Velocity,100_1000mb_above_ground,100_1000mb_above_ground,0,MAXUVV_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,100_1000mb_above_ground,100_1000mb_above_ground/MAXUVV_1hr_max_fcst
19,Hourly Maximum of Downward Vertical Velocity,100_1000mb_above_ground,100_1000mb_above_ground,0,MAXDVV_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,100_1000mb_above_ground,100_1000mb_above_ground/MAXDVV_1hr_max_fcst
20,Relative Vorticity,1000_0m_above_ground,1000_0m_above_ground,0,RELV_max_fcst,1/s,V4,anl,anl,,2,"prs,sfc",1000_0m_above_ground,1000_0m_above_ground/RELV_max_fcst
21,Relative Vorticity,1000_0m_above_ground,1000_0m_above_ground,0,RELV_1hr_max_fcst,1/s,V4,fcst,fcst,,1,sfc,1000_0m_above_ground,1000_0m_above_ground/RELV_1hr_max_fcst
22,Storm Relative Helicity,1000_0m_above_ground,1000_0m_above_ground,0,HLCY,m<sup>2</sup>/s<sup>2</sup>,V3,both,anl,,2,"prs,sfc",1000_0m_above_ground,1000_0m_above_ground/HLCY
22,Storm Relative Helicity,1000_0m_above_ground,1000_0m_above_ground,0,HLCY,m<sup>2</sup>/s<sup>2</sup>,V3,both,fcst,,1,sfc,1000_0m_above_ground,1000_0m_above_ground/HLCY
23,Reflectivity,1000m_above_ground,1000m_above_ground,0,REFD,dB,V3,both,anl,,2,"prs,sfc",1000m_above_ground,1000m_above_ground/REFD
23,Reflectivity,1000m_above_ground,1000m_above_ground,0,REFD,dB,V3,both,fcst,,1,sfc,1000m_above_ground,1000m_above_ground/REFD
24,Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,1000m_above_ground,0,MAXREF_max_fcst,dB,V3,both,anl,,2,"prs,sfc",1000m_above_ground,1000m_above_ground/MAXREF_max_fcst
24,Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,1000m_above_ground,0,MAXREF_max_fcst,dB,V3,both,fcst,,0,,,
25,Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,1000m_above_ground,0,MAXREF_1hr_max_fcst,dB,V3,both,anl,,0,,,
25,Hourly Maximum of Simulated Reflectivity at 1 km AGL,1000m_above_ground,1000m_above_ground,0,MAXREF_1hr_max_fcst,dB,V3,both,fcst,,1,sfc,1000m_above_ground,1000m_above_ground/MAXREF_1hr_max_fcst
26,Temperature,1000mb,1000mb,0,TMP,K,V3,both,anl,,2,"prs,sfc",1000mb,1000mb/TMP
26,Temperature,1000mb,1000mb,0,TMP,K,V3,both,fcst,,1,sfc,1000mb,1000mb/TMP
27,DewPoint Temperature,1000mb,1000mb,0,DPT,K,V3,both,anl,,2,"prs,sfc",1000mb,1000mb/DPT
27,DewPoint Temperature,1000mb,1000mb,0,DPT,K,V3,both,fcst,,1,sfc,1000mb,1000mb/DPT
28,U-Component of Wind,1000mb,1000mb,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",1000mb,1000mb/UGRD
28,U-Component of Wind,1000mb,1000mb,0,UGRD,m/s,V3,both,fcst,,1,sfc,1000mb,1000mb/UGRD
29,V-Component of Wind,1000mb,1000mb,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",1000mb,1000mb/VGRD
29,V-Component of Wind,1000mb,1000mb,0,VGRD,m/s,V3,both,fcst,,1,sfc,1000mb,1000mb/VGRD
30,Geopotential Height,1000mb,1000mb,0,HGT,gpm,V3,both,anl,,2,"prs,sfc",1000mb,1000mb/HGT
30,Geopotential Height,1000mb,1000mb,0,HGT,gpm,V3,both,fcst,,1,sfc,1000mb,1000mb/HGT
31,U-Component of Wind,10m_above_ground,10m_above_ground,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",10m_above_ground,10m_above_ground/UGRD
31,U-Component of Wind,10m_above_ground,10m_above_ground,0,UGRD,m/s,V3,both,fcst,,1,sfc,10m_above_ground,10m_above_ground/UGRD
32,V-Component of Wind,10m_above_ground,10m_above_ground,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",10m_above_ground,10m_above_ground/VGRD
32,V-Component of Wind,10m_above_ground,10m_above_ground,0,VGRD,m/s,V3,both,fcst,,1,sfc,10m_above_ground,10m_above_ground/VGRD
33,Wind Speed,10m_above_ground,10m_above_ground,0,WIND_max_fcst,m/s,V3,anl,anl,,2,"prs,sfc",10m_above_ground,10m_above_ground/WIND_max_fcst
34,Wind Speed,10m_above_ground,10m_above_ground,0,WIND_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,10m_above_ground,10m_above_ground/WIND_1hr_max_fcst
35,U-Component of Hourly Maximum Wind,10m_above_ground,10m_above_ground,0,MAXUW_max_fcst,m/s,V3,anl,anl,,2,"prs,sfc",10m_above_ground,10m_above_ground/MAXUW_max_fcst
36,U-Component of Hourly Maximum Wind,10m_above_ground,10m_above_ground,0,MAXUW_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,10m_above_ground,10m_above_ground/MAXUW_1hr_max_fcst
37,V-Component of Hourly Maximum Wind,10m_above_ground,10m_above_ground,0,MAXVW_max_fcst,m/s,V3,anl,anl,,2,"prs,sfc",10m_above_ground,10m_above_ground/MAXVW_max_fcst
38,V-Component of Hourly Maximum Wind,10m_above_ground,10m_above_ground,0,MAXVW_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,10m_above_ground,10m_above_ground/MAXVW_1hr_max_fcst
39,Best (4 layer) Lifted Index,180_0mb_above_ground,180_0mb_above_ground,0,4LFTX,,V3,both,anl,,2,"prs,sfc",180_0mb_above_ground,180_0mb_above_ground/4LFTX
39,Best (4 layer) Lifted Index,180_0mb_above_ground,180_0mb_above_ground,0,4LFTX,,V3,both,fcst,,1,sfc,180_0mb_above_ground,180_0mb_above_ground/4LFTX
40,Convective Available Potential Energy,180_0mb_above_ground,180_0mb_above_ground,0,CAPE,,V3,both,anl,,2,"prs,sfc",180_0mb_above_ground,180_0mb_above_ground/CAPE
40,Convective Available Potential Energy,180_0mb_above_ground,180_0mb_above_ground,0,CAPE,,V3,both,fcst,,1,sfc,180_0mb_above_ground,180_0mb_above_ground/CAPE
41,Convective Inhibition,180_0mb_above_ground,180_0mb_above_ground,0,CIN,,V3,both,anl,,2,"prs,sfc",180_0mb_above_ground,180_0mb_above_ground/CIN
41,Convective Inhibition,180_0mb_above_ground,180_0mb_above_ground,0,CIN,,V3,both,fcst,,1,sfc,180_0mb_above_ground,180_0mb_above_ground/CIN
42,Lightning Potential Index,1m_above_ground,1m_above_ground,0,LTPINX,J/kg,V4,both,anl,,0,,,
42,Lightning Potential Index,1m_above_ground,1m_above_ground,0,LTPINX,J/kg,V4,both,fcst,,0,,,
43,Hourly Maximum of Updraft Helicity,2000_0m_above_ground,2000_0m_above_ground,0,MXUPHL_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",2000_0m_above_ground,2000_0m_above_ground/MXUPHL_max_fcst
44,Hourly Maximum of Updraft Helicity,2000_0m_above_ground,2000_0m_above_ground,0,MXUPHL_1hr_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,2000_0m_above_ground,2000_0m_above_ground/MXUPHL_1hr_max_fcst
45,Hourly Minimum of Updraft Helicity,2000_0m_above_ground,2000_0m_above_ground,0,MNUPHL_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",2000_0m_above_ground,2000_0m_above_ground/MNUPHL_min_fcst
46,Hourly Minimum of Updraft Helicity,2000_0m_above_ground,2000_0m_above_ground,0,MNUPHL_1hr_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,2000_0m_above_ground,2000_0m_above_ground/MNUPHL_1hr_min_fcst
47,Relative Vorticity,2000_0m_above_ground,2000_0m_above_ground,0,RELV_max_fcst,1/s,V4,anl,anl,,2,"prs,sfc",2000_0m_above_ground,2000_0m_above_ground/RELV_max_fcst
48,Relative Vorticity,2000_0m_above_ground,2000_0m_above_ground,0,RELV_1hr_max_fcst,1/s,V4,fcst,fcst,,1,sfc,2000_0m_above_ground,2000_0m_above_ground/RELV_1hr_max_fcst
49,U-Component of Wind,250mb,250mb,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",250mb,250mb/UGRD
49,U-Component of Wind,250mb,250mb,0,UGRD,m/s,V3,both,fcst,,1,sfc,250mb,250mb/UGRD
50,V-Component of Wind,250mb,250mb,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",250mb,250mb/VGRD
50,V-Component of Wind,250mb,250mb,0,VGRD,m/s,V3,both,fcst,,1,sfc,250mb,250mb/VGRD
51,Height at the 253 K,253K_level,253K_level,0,HGT,m,V3,both,anl,,2,"prs,sfc",253K_level,253K_level/HGT
51,Height at the 253 K,253K_level,253K_level,0,HGT,m,V3,both,fcst,,1,sfc,253K_level,253K_level/HGT
52,Convective Available Potential Energy,255_0mb_above_ground,255_0mb_above_ground,0,CAPE,J/kg,V3,both,anl,,2,"prs,sfc",255_0mb_above_ground,255_0mb_above_ground/CAPE
52,Convective Available Potential Energy,255_0mb_above_ground,255_0mb_above_ground,0,CAPE,J/kg,V3,both,fcst,,1,sfc,255_0mb_above_ground,255_0mb_above_ground/CAPE
53,Convective Inhibition,255_0mb_above_ground,255_0mb_above_ground,0,CIN,J/kg,V3,both,anl,,2,"prs,sfc",255_0mb_above_ground,255_0mb_above_ground/CIN
53,Convective Inhibition,255_0mb_above_ground,255_0mb_above_ground,0,CIN,J/kg,V3,both,fcst,,1,sfc,255_0mb_above_ground,255_0mb_above_ground/CIN
54,Pressure of Level From Which Parcel Was Lifted,255_0mb_above_ground,255_0mb_above_ground,0,PLPL,Pa,V3,both,anl,,2,"prs,sfc",255_0mb_above_ground,255_0mb_above_ground/PLPL
54,Pressure of Level From Which Parcel Was Lifted,255_0mb_above_ground,255_0mb_above_ground,0,PLPL,Pa,V3,both,fcst,,1,sfc,255_0mb_above_ground,255_0mb_above_ground/PLPL
55,Depth of Layer Supporting Dendritic Growth,261K_level___256K_level,261K_level___256K_level,0,LAYTH,m,V4,both,anl,,2,"prs,sfc",261K_level___256K_level,261K_level___256K_level/LAYTH
55,Depth of Layer Supporting Dendritic Growth,261K_level___256K_level,261K_level___256K_level,0,LAYTH,m,V4,both,fcst,,1,sfc,261K_level___256K_level,261K_level___256K_level/LAYTH
56,Height at the 263 K,263K_level,263K_level,0,HGT,m,V3,both,anl,,2,"prs,sfc",263K_level,263K_level/HGT
56,Height at the 263 K,263K_level,263K_level,0,HGT,m,V3,both,fcst,,1,sfc,263K_level,263K_level/HGT
57,Reflectivity,263K_level,263K_level,0,REFD,dB,V4,both,anl,,2,"prs,sfc",263K_level,263K_level/REFD
57,Reflectivity,263K_level,263K_level,0,REFD,dB,V4,both,fcst,,1,sfc,263K_level,263K_level/REFD
58,Reflectivity,263K_level,263K_level,0,REFD_max_fcst,dB,V4,anl,anl,,2,"prs,sfc",263K_level,263K_level/REFD_max_fcst
59,Reflectivity,263K_level,263K_level,0,REFD_1hr_max_fcst,dB,V4,fcst,fcst,,1,sfc,263K_level,263K_level/REFD_1hr_max_fcst
60,Lightning Potential Index,2m_above_ground,2m_above_ground,0,LTPINX,J/kg,V4,both,anl,,0,,,
60,Lightning Potential Index,2m_above_ground,2m_above_ground,0,LTPINX,J/kg,V4,both,fcst,,0,,,
61,Temperature,2m_above_ground,2m_above_ground,0,TMP,K,V3,both,anl,,2,"prs,sfc",2m_above_ground,2m_above_ground/TMP
61,Temperature,2m_above_ground,2m_above_ground,0,TMP,K,V3,both,fcst,,1,sfc,2m_above_ground,2m_above_ground/TMP
62,Potential Temperature,2m_above_ground,2m_above_ground,0,POT,K,V3,both,anl,,2,"prs,sfc",2m_above_ground,2m_above_ground/POT
62,Potential Temperature,2m_above_ground,2m_above_ground,0,POT,K,V3,both,fcst,,1,sfc,2m_above_ground,2m_above_ground/POT
63,Specific Humidity,2m_above_ground,2m_above_ground,0,SPFH,kg/kg,V3,both,anl,,2,"prs,sfc",2m_above_ground,2m_above_ground/SPFH
63,Specific Humidity,2m_above_ground,2m_above_ground,0,SPFH,kg/kg,V3,both,fcst,,1,sfc,2m_above_ground,2m_above_ground/SPFH
64,Dew Point Temperature,2m_above_ground,2m_above_ground,0,DPT,K,V3,both,anl,,2,"prs,sfc",2m_above_ground,2m_above_ground/DPT
64,Dew Point Temperature,2m_above_ground,2m_above_ground,0,DPT,K,V3,both,fcst,,1,sfc,2m_above_ground,2m_above_ground/DPT
65,Relative Humidity,2m_above_ground,2m_above_ground,0,RH,kg/kg,V3,both,anl,,2,"prs,sfc",2m_above_ground,2m_above_ground/RH
65,Relative Humidity,2m_above_ground,2m_above_ground,0,RH,kg/kg,V3,both,fcst,,1,sfc,2m_above_ground,2m_above_ground/RH
66,Hourly Maximum of Updraft Helicity,3000_0m_above_ground,3000_0m_above_ground,0,MXUPHL_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",3000_0m_above_ground,3000_0m_above_ground/MXUPHL_max_fcst
67,Hourly Maximum of Updraft Helicity,3000_0m_above_ground,3000_0m_above_ground,0,MXUPHL_1hr_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,3000_0m_above_ground,3000_0m_above_ground/MXUPHL_1hr_max_fcst
68,Hourly Minimum of Updraft Helicity,3000_0m_above_ground,3000_0m_above_ground,0,MNUPHL_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",3000_0m_above_ground,3000_0m_above_ground/MNUPHL_min_fcst
69,Hourly Minimum of Updraft Helicity,3000_0m_above_ground,3000_0m_above_ground,0,MNUPHL_1hr_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,3000_0m_above_ground,3000_0m_above_ground/MNUPHL_1hr_min_fcst
70,Storm Relative Helicity,3000_0m_above_ground,3000_0m_above_ground,0,HLCY,m<sup>2</sup>/s<sup>2</sup>,V3,both,anl,,2,"prs,sfc",3000_0m_above_ground,3000_0m_above_ground/HLCY
70,Storm Relative Helicity,3000_0m_above_ground,3000_0m_above_ground,0,HLCY,m<sup>2</sup>/s<sup>2</sup>,V3,both,fcst,,1,sfc,3000_0m_above_ground,3000_0m_above_ground/HLCY
71,U-Component of Wind,300mb,300mb,0,UGRD,m/s,V4,both,anl,,2,"prs,sfc",300mb,300mb/UGRD
71,U-Component of Wind,300mb,300mb,0,UGRD,m/s,V4,both,fcst,,1,sfc,300mb,300mb/UGRD
72,V-Component of Wind,300mb,300mb,0,VGRD,m/s,V4,both,anl,,2,"prs,sfc",300mb,300mb/VGRD
72,V-Component of Wind,300mb,300mb,0,VGRD,m/s,V4,both,fcst,,1,sfc,300mb,300mb/VGRD
73,Reflectivity,4000m_Above_Ground,4000m_above_ground,1,REFD,dB,V3,both,anl,,2,"prs,sfc",4000m_above_ground,4000m_above_ground/REFD
73,Reflectivity,4000m_Above_Ground,4000m_above_ground,1,REFD,dB,V3,both,fcst,,1,sfc,4000m_above_ground,4000m_above_ground/REFD
74,Surface Lifted Index,500_1000mb,500_1000mb,0,LFTX,K,V3,both,anl,,2,"prs,sfc",500_1000mb,500_1000mb/LFTX
74,Surface Lifted Index,500_1000mb,500_1000mb,0,LFTX,K,V3,both,fcst,,1,sfc,500_1000mb,500_1000mb/LFTX
75,Hourly Maximum of Updraft Helicity,5000_2000m_above_ground,5000_2000m_above_ground,0,MXUPHL_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",5000_2000m_above_ground,5000_2000m_above_ground/MXUPHL_max_fcst
76,Hourly Maximum of Updraft Helicity,5000_2000m_above_ground,5000_2000m_above_ground,0,MXUPHL_1hr_max_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,5000_2000m_above_ground,5000_2000m_above_ground/MXUPHL_1hr_max_fcst
77,Hourly Minimum of Updraft Helicity,5000_2000m_above_ground,5000_2000m_above_ground,0,MNUPHL_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,anl,anl,,2,"prs,sfc",5000_2000m_above_ground,5000_2000m_above_ground/MNUPHL_min_fcst
78,Hourly Minimum of Updraft Helicity,5000_2000m_above_ground,5000_2000m_above_ground,0,MNUPHL_1hr_min_fcst,m<sup>2</sup>/s<sup>2</sup>,V3,fcst,fcst,,1,sfc,5000_2000m_above_ground,5000_2000m_above_ground/MNUPHL_1hr_min_fcst
79,Geopotential Height,500mb,500mb,0,HGT,gpm,V3,both,anl,,2,"prs,sfc",500mb,500mb/HGT
79,Geopotential Height,500mb,500mb,0,HGT,gpm,V3,both,fcst,,1,sfc,500mb,500mb/HGT
80,Temperature,500mb,500mb,0,TMP,K,V3,both,anl,,2,"prs,sfc",500mb,500mb/TMP
80,Temperature,500mb,500mb,0,TMP,K,V3,both,fcst,,1,sfc,500mb,500mb/TMP
81,Dew Point Temperature,500mb,500mb,0,DPT,K,V3,both,anl,,2,"prs,sfc",500mb,500mb/DPT
81,Dew Point Temperature,500mb,500mb,0,DPT,K,V3,both,fcst,,1,sfc,500mb,500mb/DPT
82,U-Component of Wind,500mb,500mb,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",500mb,500mb/UGRD
82,U-Component of Wind,500mb,500mb,0,UGRD,m/s,V3,both,fcst,,1,sfc,500mb,500mb/UGRD
83,V-Component of Wind,500mb,500mb,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",500mb,500mb/VGRD
83,V-Component of Wind,500mb,500mb,0,VGRD,m/s,V3,both,fcst,,1,sfc,500mb,500mb/VGRD
84,Geopotential Height,700mb,700mb,0,HGT,gpm,V3,both,anl,,2,"prs,sfc",700mb,700mb/HGT
84,Geopotential Height,700mb,700mb,0,HGT,gpm,V3,both,fcst,,1,sfc,700mb,700mb/HGT
85,Temperature,700mb,700mb,0,TMP,K,V3,both,anl,,2,"prs,sfc",700mb,700mb/TMP
85,Temperature,700mb,700mb,0,TMP,K,V3,both,fcst,,1,sfc,700mb,700mb/TMP
86,Dew Point Temperature,700mb,700mb,0,DPT,K,V3,both,anl,,2,"prs,sfc",700mb,700mb/DPT
86,Dew Point Temperature,700mb,700mb,0,DPT,K,V3,both,fcst,,1,sfc,700mb,700mb/DPT
87,Vertical Velocity,700mb,700mb,0,DZDT,m/s,V4,both,anl,,1,sfc,700mb,700mb/DZDT
87,Vertical Velocity,700mb,700mb,0,DZDT,m/s,V4,both,fcst,,1,sfc,700mb,700mb/DZDT
88,U-Component of Wind,700mb,700mb,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",700mb,700mb/UGRD
88,U-Component of Wind,700mb,700mb,0,UGRD,m/s,V3,both,fcst,,1,sfc,700mb,700mb/UGRD
89,V-Component of Wind,700mb,700mb,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",700mb,700mb/VGRD
89,V-Component of Wind,700mb,700mb,0,VGRD,m/s,V3,both,fcst,,1,sfc,700mb,700mb/VGRD
90,U-Component of Wind,80m_above_ground,80m_above_ground,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",80m_above_ground,80m_above_ground/UGRD
90,U-Component of Wind,80m_above_ground,80m_above_ground,0,UGRD,m/s,V3,both,fcst,,1,sfc,80m_above_ground,80m_above_ground/UGRD
91,V-Component of Wind,80m_above_ground,80m_above_ground,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",80m_above_ground,80m_above_ground/VGRD
91,V-Component of Wind,80m_above_ground,80m_above_ground,0,VGRD,m/s,V3,both,fcst,,1,sfc,80m_above_ground,80m_above_ground/VGRD
92,Geopotential Height,850mb,850mb,0,HGT,gpm,V3,both,anl,,2,"prs,sfc",850mb,850mb/HGT
92,Geopotential Height,850mb,850mb,0,HGT,gpm,V3,both,fcst,,1,sfc,850mb,850mb/HGT
93,Temperature,850mb,850mb,0,TMP,K,V3,both,anl,,2,"prs,sfc",850mb,850mb/TMP
93,Temperature,850mb,850mb,0,TMP,K,V3,both,fcst,,1,sfc,850mb,850mb/TMP
94,Dew Point Temperature,850mb,850mb,0,DPT,K,V3,both,anl,,2,"prs,sfc",850mb,850mb/DPT
94,Dew Point Temperature,850mb,850mb,0,DPT,K,V3,both,fcst,,1,sfc,850mb,850mb/DPT
95,U-Component of Wind,850mb,850mb,0,UGRD,m/s,V3,both,anl,,2,"prs,sfc",850mb,850mb/UGRD
95,U-Component of Wind,850mb,850mb,0,UGRD,m/s,V3,both,fcst,,1,sfc,850mb,850mb/UGRD
96,V-Component of Wind,850mb,850mb,0,VGRD,m/s,V3,both,anl,,2,"prs,sfc",850mb,850mb/VGRD
96,V-Component of Wind,850mb,850mb,0,VGRD,m/s,V3,both,fcst,,1,sfc,850mb,850mb/VGRD
97,Mass Density,8m_above_ground,8m_above_ground,0,MASSDEN,Concentration (kg/m<sup>3</sup>),V4,both,anl,Near-surface smoke,2,"prs,sfc",8m_above_ground,8m_above_ground/MASSDEN
97,Mass Density,8m_above_ground,8m_above_ground,0,MASSDEN,Concentration (kg/m<sup>3</sup>),V4,both,fcst,Near-surface smoke,1,sfc,8m_above_ground,8m_above_ground/MASSDEN
98,Convective Available Potential Energy,90_0mb_above_ground,90_0mb_above_ground,0,CAPE,J/kg,V3,both,anl,,2,"prs,sfc",90_0mb_above_ground,90_0mb_above_ground/CAPE
98,Convective Available Potential Energy,90_0mb_above_ground,90_0mb_above_ground,0,CAPE,J/kg,V3,both,fcst,,1,sfc,90_0mb_above_ground,90_0mb_above_ground/CAPE
99,Convective Inhibition,90_0mb_above_ground,90_0mb_above_ground,0,CIN,J/kg,V3,both,anl,,2,"prs,sfc",90_0mb_above_ground,90_0mb_above_ground/CIN
99,Convective Inhibition,90_0mb_above_ground,90_0mb_above_ground,0,CIN,J/kg,V3,both,fcst,,1,sfc,90_0mb_above_ground,90_0mb_above_ground/CIN
100,Temperature,925mb,925mb,0,TMP,K,V3,both,anl,,2,"prs,sfc",925mb,925mb/TMP
100,Temperature,925mb,925mb,0,TMP,K,V3,both,fcst,,1,sfc,925mb,925mb/TMP
