gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
grle         Graupel (snow pellets)  200          isobaricInhPa 
o3mr         Ozone mixing ratio  200          isobaricInhPa 
gh           Geopotential height  250          isobaricInhPa 
t            Temperature  250          isobaricInhPa 
r            Relative humidity  250          isobaricInhPa 
tcc          Total Cloud Cover  250          isobaricInhPa 
w            Vertical velocity  250          isobaricInhPa 
wz           Geometric vertical velocity  250          isobaricInhPa 
u            U component of wind  250          isobaricInhPa 
v            V component of wind  250          isobaricInhPa 
absv         Absolute vorticity  250          isobaricInhPa 
clwmr        Cloud mixing ratio  250          isobaricInhPa 
icmr         Ice water mixing ratio  250          isobaricInhPa 
rwmr         Rain mixing ratio  250          isobaricInhPa 
snmr         Snow mixing ratio  250          isobaricInhPa 
grle         Graupel (snow pellets)  250          isobaricInhPa 
o3mr         Ozone mixing ratio  250          isobaricInhPa 
gh           Geopotential height  300          isobaricInhPa 
t            Temperature  300          isobaricInhPa 
r            Relative humidity  300          isobaricInhPa 
tcc          Total Cloud Cover  300          isobaricInhPa 
w            Vertical velocity  300          isobaricInhPa 
wz           Geometric vertical velocity  300          isobaricInhPa 
u            U component of wind  300          isobaricInhPa 
v            V component of wind  300          isobaricInhPa 
absv         Absolute vorticity  300          isobaricInhPa 
clwmr        Cloud mixing ratio  300          isobaricInhPa 
icmr         Ice water mixing ratio  300          isobaricInhPa 
rwmr         Rain mixing ratio  300          isobaricInhPa 
snmr         Snow mixing ratio  300          isobaricInhPa 
grle         Graupel (snow pellets)  300          isobaricInhPa 
o3mr         Ozone mixing ratio  300          isobaricInhPa 
gh           Geopotential height  350          isobaricInhPa 
t            Temperature  350          isobaricInhPa 
r            Relative humidity  350          isobaricInhPa 
tcc          Total Cloud Cover  350          isobaricInhPa 
w            Vertical velocity  350          isobaricInhPa 
wz           Geometric vertical velocity  350          isobaricInhPa 
u            U component of wind  350          isobaricInhPa 
v            V component of wind  350          isobaricInhPa 
absv         Absolute vorticity  350          isobaricInhPa 
clwmr        Cloud mixing ratio  350          isobaricInhPa 
icmr         Ice water mixing ratio  350          isobaricInhPa 
rwmr         Rain mixing ratio  350          isobaricInhPa 
snmr         Snow mixing ratio  350          isobaricInhPa 
grle         Graupel (snow pellets)  350          isobaricInhPa 
o3mr         Ozone mixing ratio  350          isobaricInhPa 
gh           Geopotential height  400          isobaricInhPa 
t            Temperature  400          isobaricInhPa 
r            Relative humidity  400          isobaricInhPa 
tcc          Total Cloud Cover  400          isobaricInhPa 
w            Vertical velocity  400          isobaricInhPa 
wz           Geometric vertical velocity  400          isobaricInhPa 
u            U component of wind  400          isobaricInhPa 
v            V component of wind  400          isobaricInhPa 
absv         Absolute vorticity  400          isobaricInhPa 
clwmr        Cloud mixing ratio  400          isobaricInhPa 
icmr         Ice water mixing ratio  400          isobaricInhPa 
rwmr         Rain mixing ratio  400          isobaricInhPa 
snmr         Snow mixing ratio  400          isobaricInhPa 
grle         Graupel (snow pellets)  400          isobaricInhPa 
o3mr         Ozone mixing ratio  400          isobaricInhPa 
gh           Geopotential height  450          isobaricInhPa 
t            Temperature  450          isobaricInhPa 
r            Relative humidity  450          isobaricInhPa 
tcc          Total Cloud Cover  450          isobaricInhPa 
w            Vertical velocity  450          isobaricInhPa 
wz           Geometric vertical velocity  450          isobaricInhPa 
u            U component of wind  450          isobaricInhPa 
v            V component of wind  450          isobaricInhPa 
absv         Absolute vorticity  450          isobaricInhPa 
clwmr        Cloud mixing ratio  450          isobaricInhPa 
icmr         Ice water mixing ratio  450          isobaricInhPa 
rwmr         Rain mixing ratio  450          isobaricInhPa 
snmr         Snow mixing ratio  450          isobaricInhPa 
grle         Graupel (snow pellets)  450          isobaricInhPa 
gh           Geopotential height  500          isobaricInhPa 
t            Temperature  500          isobaricInhPa 
r            Relative humidity  500          isobaricInhPa 
tcc          Total Cloud Cover  500          isobaricInhPa 
